Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario andrespardoa colombia eeuu 2018 inflacion 2017 inconvenientes 2014 ofrecemos disculpas tasa 
 bandrespardoa uncertainty over the approval of structural tax reform in the 2nd half of 2016 could ; j : 1. Sim : 0.13900378; No similar. 
 primer trimestre 2018 pib crecio 22 terminos anuales equipo tecnico mantuvo 27 proyecc labelurl  ; j : 202. Sim : 0.49168396; No similar. 
 informe diario febrero 21 2019 ventas vivienda usada eeuu tocan minimos tres anosnlabelurl  ; j : 203. Sim : 0.4484446; No similar. 
 informe diario mayo 19 2015 ventas vivienda nueva permisos construccion eeuu aumentan abril labelur; j : 204. Sim : 0.43394926; No similar. 
 informe diario noviembre 27 2017 eeuu ventas vivienda nueva crecieron 62 mm octubrenlabelurl  ; j : 205. Sim : 0.4095478; No similar. 
 informe diario septiembre 24 2014 ventas vivienda nueva eeuu aumentaron 18 mm agosto labelurl  ; j : 206. Sim : 0.4824424; No similar. 
 informe diario julio 8 2015 minutas feed revelan menos optimismo mayor incertidumbre dentro comite ; j : 207. Sim : 0.37450284; No similar. 
 informe diario mayo 24 2016 ventas vivienda nueva eeuu disparan ritmo historicamente alto labelurl ; j : 208. Sim : 0.4812817; No similar. 
 informe diario julio 11 2016 bonos holandeses 10 anos caen terreno negativo nlabelurl  ; j : 209. Sim : 0.35685048; No similar. 
 andrespardoa luego dato pib 2do trimestre esperamos bancorepublica mantenga tasa inter 45 mes  ; j : 210. Sim : 0.45986602; No similar. 
 andrespardoa colombia banco republica espera crecimiento pib 41 2013 43 2014 esperamos 42 5  ; j : 211. Sim : 0.5270308; Baja. 
 andrespardoa banco central europeo recorta tasa referencia 015 tasa deposito 01 linea expectati  ; j : 212. Sim : 0.2863437; No similar. 
 informe diario mayo 7 2015 mercados eeuu responden alza tras bajas peticiones subsidio desempleo la; j : 213. Sim : 0.5427024; Baja. 
 informe renta variable julio 14 2015 expectativa resultados 2t15 eeuu afecta mercado local labelurl; j : 214. Sim : 0.38676488; No similar. 
 informe diario febrero 23 2015 cifra venta vivienda usada eeuu mas baja abril pasado labelurl  ; j : 215. Sim : 0.38489845; No similar. 
 informe diario enero 19 2015 mercados europeos alza anticipacion nuevas medidas estimulo semana lab; j : 216. Sim : 0.34219843; No similar. 
 andrespardoa colombia segun raddarckgcompras hogares crecieron 138 febla expansion anual mas alta d; j : 217. Sim : 0.5483949; Baja. 
 informe diario agosto 25 2016 eeuu ordenes durables julio crecen despues do caidasnlabelurl  ; j : 218. Sim : 0.5778039; Baja. 
 informe diario mayo 21 2014 medio publicacion minutas feed boe mercados cierran alza labelurl  ; j : 219. Sim : 0.47382617; No similar. 
 informe diario agosto 27 2014indices bursatiles mixtos expectantes primera revision pib 2t14 eeuu l; j : 220. Sim : 0.56702006; Baja. 
 2017 economia nal habria terminado proceso ajuste caida precio petroleo registrada 2014 vea labelur; j : 221. Sim : 0.53952914; Baja. 
 informe diario septiembre 7 2015 tes cayeron mayor inflacion colombia llego agosto 474 aa labelurl ; j : 222. Sim : 0.5310534; Baja. 
 2017 economia nal habria terminado proceso ajuste caida precio petroleo registrada 2014 vea labelur; j : 223. Sim : 0.53952914; Baja. 
 informe diario mayo 19 2014 medio escasas referencias economicas indices bursatiles cierran mixtos ; j : 224. Sim : 0.44856435; No similar. 
 monitor banquero central abril 24 2014 hoy esperamos tasa politica monetaria mantenga 325 labelurl ; j : 225. Sim : 0.35095412; No similar. 
 monitor banquero central noviembre 27 2014 esperamos tasa politica monetaria mantenga hoy 45 labelu; j : 226. Sim : 0.3581301; No similar. 
 andrespardoa colombia pib construccion principal motor economia 2do trimestre crecer 102 esperabamo; j : 227. Sim : 0.50740063; Baja. 
 monitor banquero central febrero 19 2015 esperamos tasa politica monetaria mantenga hoy 45 labelurl; j : 228. Sim : 0.28655142; No similar. 
 monitor banquero central agosto 28 2014 hoy esperamos tasa politica monetaria aumente 45 labelurl  ; j : 229. Sim : 0.35865536; No similar. 
 monitor banquero central mayo 29 2014 hoy esperamos tasa politica monetaria aumente 375 labelurl  ; j : 230. Sim : 0.32344812; No similar. 
 monitor banquero central junio 19 2014 hoy esperamos tasa politica monetaria aumente 425 labelurl  ; j : 231. Sim : 0.32833463; No similar. 
 monitor banquero central enero 30 2015 esperamos tasa politica monetaria mantenga hoy 45 labelurl  ; j : 232. Sim : 0.31525424; No similar. 
 monitor banquero central julio 30 2014 hoy esperamos tasa politica monetaria aumente 425 labelurl  ; j : 233. Sim : 0.35077038; No similar. 
 monitor banquero central diciembre 18 2014 esperamos tasa politica monetaria mantenga hoy 45 labelu; j : 234. Sim : 0.3644256; No similar. 
 monitor banquero central marzo 20 2014 hoy esperamos tasa politica monetaria mantenga 325 labelurl ; j : 235. Sim : 0.34441787; No similar. 
 informe diario marzo 30 2016 reporte empleo adp sugiere dinamismo mercado laboral eeuu labelurl  ; j : 236. Sim : 0.44722003; No similar. 
 informe diario septiembre 17 2014 feed eeuu reitero mantendra tasas bajas tiempo considerable label; j : 237. Sim : 0.60668594; Baja. 
 informe diario julio 14 2014 bce mantendra tasas inter niveles minimos tiempo prolongado labelurl  ; j : 238. Sim : 0.5352795; Baja. 
 monitor banquero central septiembre 25 2014 esperamos banrep deje tasa politica monetaria 45 labelu; j : 239. Sim : 0.3840627; No similar. 
 informe diario febrero 24 2016 pmi servicios eeuu refleja primera contraccion sector 2013nlabelurl ; j : 240. Sim : 0.4588415; No similar. 
 informe diario abril 23 2015 datos preliminares pmi eurozona eeuu abril tienden baja labelurl  ; j : 241. Sim : 0.39396417; No similar. 
 informe diario enero 16 2014 datos macroeconomicos mixtos eeuu eurozona influyen indices bursatiles; j : 242. Sim : 0.6047865; Baja. 
 informe diario marzo 24 2015 datos preliminares pmi eurozona eeuu marzo tienden alza labelurl  ; j : 243. Sim : 0.47031435; No similar. 
 informe diario enero 27 2015 mercados afectados debiles datos ordenes bienes durables eeuu labelurl; j : 244. Sim : 0.5355036; Baja. 
 informe diario enero 15 2015 banco nacional suizo elimino barrera cambiaria mantenia 2011nlabelurl ; j : 245. Sim : 0.3539616; No similar. 
 informe inflacion abril 10 2015 tocando techo pronostico abril 034 mm 444 aa labelurl  ; j : 246. Sim : 0.33261335; No similar. 
 informe diario mayo 28 2015 gobierno nacional anuncia pipe 20 dinamizar economia colombiana labelur; j : 247. Sim : 0.39388582; No similar. 
 andrespardoa col nuevo indicador seguimiento economia danecolombia aumento 51 abril 2014 comparado ; j : 248. Sim : 0.44657633; No similar. 
 andrespardoa argentina juego gallina deuda publica argentina in game of chicken over debt labelurl ; j : 249. Sim : 0.19580154; No similar. 
 andrespardoa colombia tasa inversion pib 1er trimestre mas alta historica 264 precios corrientes 30; j : 250. Sim : 0.61329246; Baja. 
 bbancorepublica 25 mayo fecha limite envio ensayos concurso banca escolar banca central ini  ; j : 251. Sim : 0.24746697; No similar. 
 top 2 impacto economico inflacion japon mantuvo estable bce considera prematuro dar senales camb la; j : 252. Sim : 0.42371675; No similar. 
 informe diario febrero 26 2015 inflacion eeuu ubico terreno negativo primera vez 2009 labelurl  ; j : 253. Sim : 0.48668024; No similar. 
 andrespardoa ahora esperamos bancorepublica suba tasa inter 7 semestre 025 pts cada mes mayo labelu; j : 254. Sim : 0.29745492; No similar. 
 ud sabia fracking utilizan alrededor 20 millones galones agua estimular fractura roca madre  ; j : 255. Sim : 0.043181375; No similar. 
 monitor banquero central julio 27 2016 esperamos banrep mantenga tasa inter 75 viernes labelurl  ; j : 256. Sim : 0.2210958; No similar. 
 informe diario agosto 21 2014indices bursatiles positivos medio datos mixtos eeuu eurozona china la; j : 257. Sim : 0.44107905; No similar. 
 informe diario febrero 20 2014 indices bursatiles alza medio datos mixtos actividad economica label; j : 258. Sim : 0.5117613; Baja. 
 informe diario marzo 13 2014 datos positivos eeuu desaceleracion economia china marcaron jornada la; j : 259. Sim : 0.6098598; Baja. 
 andrespardoa tasa bonos tesoro 10 anos cae minimo 11 meses labelurl via marketwatch advertimos p  ; j : 260. Sim : 0.49224684; No similar. 
 informe diario julio 23 2014 indices bursatiles resultados mixtos medio escasa publicacion datos la; j : 261. Sim : 0.47884157; No similar. 
 informe diario julio 16 2014 indices bursatiles alza medio publicacion datos mixtos eeuu labelurl  ; j : 262. Sim : 0.6156639; Baja. 
 andrespardoa lectura obligada quieren entender coyuntura economica financiera global informe anual ; j : 263. Sim : 0.34932116; No similar. 
 colombia pesar fuerte aceleracion inflacion octubre nucleo alimentos regulados solo subio 255 259  ; j : 264. Sim : 0.43104655; No similar. 
 andrespardoa proposito revision proyecciones fiscales colombia sabe funciona regla fiscal explico a; j : 265. Sim : 0.5820876; Baja. 
 andrespardoa proposito publicacion proyecciones fiscales colombia sabe funciona regla fiscal explic; j : 266. Sim : 0.60454977; Baja. 
 andrespardoa colombia datos produccion industrial comercio minorista marzo muestran continua repunt; j : 267. Sim : 0.43470603; No similar. 
 informe diario julio 21 2014 mercados cierran cifras negativas medio escasa publicacion datos label; j : 268. Sim : 0.4927073; No similar. 
 banrepcultural undiacomohoy 20 febrero 1958 inauguro biblioteca luis angel arango bancorepublica bl; j : 269. Sim : 0.27508453; No similar. 
 informe diario diciembre 28 2016 eeuu ventas pendientes vivienda cayeron 25 mm nlabelurl  ; j : 270. Sim : 0.4882167; No similar. 
 informe diario febrero 12 2018 banrep tasa repo bajaria si inflacion sigue cayendonlabelurl  ; j : 271. Sim : 0.60216904; Baja. 
 andrespardoa analistas extranjeros ratifican percepcion d downgrade crediticio si deficit fiscal 20; j : 272. Sim : 0.5746772; Baja. 
 informe diario enero 11 2018 eeuu precios productor cayeron 01 mm diciembrenlabelurl  ; j : 273. Sim : 0.50692344; Baja. 
 informe diario octubre 7 2015 produccion industrial reino unido expandio 19 aa agostonlabelurl  ; j : 274. Sim : 0.2429086; No similar. 
 informe diario septiembre 7 2016 produccion industrial reino unido crecio 21 aa julionlabelurl  ; j : 275. Sim : 0.34417042; No similar. 
 informe diario junio 28 2017 eeuu inventarios mayoristas aumentaron 03 mm mayonlabelurl  ; j : 276. Sim : 0.5364542; Baja. 
 informe diario junio 17 2014 inflacion eeuu 21 aa mayo superando expectativas labelurl  ; j : 277. Sim : 0.57348156; Baja. 
 informe diario abril 9 2015 ventas mayoristas eeuu rebotan febrero incremento ventas petroleo label; j : 278. Sim : 0.45003927; No similar. 
 informe diario abril 22 2014 mercados expectativa pmi manufacturero china eurozona eeuu labelurl  ; j : 279. Sim : 0.44298768; No similar. 
 informe diario marzo 9 2016 eeuu caida ventas mayoristas enero refleja debilitamiento demanda label; j : 280. Sim : 0.4372626; No similar. 
 informe diario marzo 6 2018 eeuu ordenes bienes durables cayeron 36 mm eneronlabelurl  ; j : 281. Sim : 0.4868007; No similar. 
 informe diario agosto 28 2017 eeuu deficit balanza comercial bienes aumento julionlabelurl  ; j : 282. Sim : 0.65032905; Baja. 
 informe diario mayo 30 2017 inflacion pce disminuyo 2 pbs abril 17 aanlabelurl  ; j : 283. Sim : 0.5690578; Baja. 
 informe diario junio 9 2015 ventas mayoristas eeuu rebotan abril incremento ventas petroleo labelur; j : 284. Sim : 0.45054045; No similar. 
 informe diario noviembre 12 2014 produccion industrial eurozona crecio 06 aa septiembre labelurl  ; j : 285. Sim : 0.41026402; No similar. 
 informe diario febrero 13 2018 ipc reino unido mantuvo 30 aa eneronlabelurl  ; j : 286. Sim : 0.42918622; No similar. 
 informe diario diciembre 22 2016 eeuu corrigen alza pib 3t16 35 ttnlabelurl  ; j : 287. Sim : 0.5227172; Baja. 
 informe diario diciembre 17 2015 solicitudes subsidio desempleo disminuyeron eeuu 271 mil labelurl ; j : 288. Sim : 0.56990767; Baja. 
 informe diario diciembre 12 2018 inflacion ipc eeuu aumento 22 aa noviembrenlabelurl  ; j : 289. Sim : 0.65869915; Baja. 
 informe diario diciembre 12 2017 ipc reino unido aumento 31 aa noviembrenlabelurl  ; j : 290. Sim : 0.4322992; No similar. 
 informe diario febrero 27 2017 eeuu ordenes bienes durables superan expectativas nlabelurl  ; j : 291. Sim : 0.61101353; Baja. 
 informe diario diciembre 4 2017 eeuu ordenes bienes durables cayeron 08 mm octubrenlabelurl  ; j : 292. Sim : 0.4930828; No similar. 
 informe diario diciembre 12 2018 inflacion ipc eeuu aumento 22 aa noviembrenlabelurl  ; j : 293. Sim : 0.65869915; Baja. 
 informe diario diciembre 22 2014 noviembre indice importaciones alemania desciende 21 aa labelurl  ; j : 294. Sim : 0.43530545; No similar. 
 informe diario septiembre 12 2017 inflacion reino unido acelero agosto 29 aanlabelurl  ; j : 295. Sim : 0.43778196; No similar. 
 informe diario octubre 30 2017 eeuu inflacion pce acelero 16 aa septiembrenlabelurl  ; j : 296. Sim : 0.65072936; Baja. 
 informe diario noviembre 29 2016 eeuu corrigen alza pib 3t16 32 ttnlabelurl  ; j : 297. Sim : 0.5519956; Baja. 
 informe diario diciembre 22 2015 crecimiento economico eeuu ubico 2 tt anualizado 3t15nlabelurl  ; j : 298. Sim : 0.5817201; Baja. 
 informe diario octubre 12 2017 eeuu precios productor aumentaron 26 aa septiembrenlabelurl  ; j : 299. Sim : 0.49421751; No similar. 
 informe diario octubre 13 2015 inflacion reino unido ubico 01 aa septiembrenlabelurl  ; j : 300. Sim : 0.49650523; No similar. 
 informe diario julio 31 2017 inflacion nucleo eurozona aumenta 12 aa julionlabelurl  ; j : 301. Sim : 0.5916608; Baja. 
 informe diario julio 13 2017 eeuu precios productor crecieron 01 mm junionlabelurl  ; j : 302. Sim : 0.57031274; Baja. 
 informe diario octubre 14 2014 produccion industrial eurozona cayo 19 aa agosto labelurl  ; j : 303. Sim : 0.40959573; No similar. 
 informe diario octubre 9 2014 exportaciones alemania caen 58 mm maximo descenso 2009 labelurl  ; j : 304. Sim : 0.5056575; Baja. 
 top 3 impacto economico ventas menor eeuu cayeron enero ventas minoristas colombia disminu labelurl; j : 305. Sim : 0.3824224; No similar. 
 informe diario mayo 22 2014 pmi manufacturero eeuu china mayo mayor esperado labelurl  ; j : 306. Sim : 0.34657237; No similar. 
 informe diario diciembre 29 2015 precios petroleo presentaron recuperacion favoreciendo indices bur; j : 307. Sim : 0.5329622; Baja. 
 informe diario julio 17 2017 china registro solido crecimiento 69 aa 2t17nlabelurl  ; j : 308. Sim : 0.49057323; No similar. 
 informe diario abril 12 2016 fmi redujo proyeccion crecimiento mundial 34 32 labelurl  ; j : 309. Sim : 0.4732804; No similar. 
 informe diario marzo 11 2015 crecimiento produccion industrial china minimos mayo 2009 labelurl  ; j : 310. Sim : 0.4037268; No similar. 
 informe diario junio 7 2018 gasto hogares crecio 31 aa mayo segun raddarnlabelurl  ; j : 311. Sim : 0.46001554; No similar. 
 informe diario agosto 11 2014 exportaciones fob colombia disminuyeron 41 aa junio labelurl  ; j : 312. Sim : 0.4970918; No similar. 
 informe diario mayo 16 2017 eeuu produccion industrial expandio 10 mm abrilnlabelurl  ; j : 313. Sim : 0.55558145; Baja. 
 top 3 impacto economico actividad manufacturera china cayo febrero ordenes bienes durables eeuu lab; j : 314. Sim : 0.35358804; No similar. 
 informe diario junio 16 2015 colombia ventas minoristas produccion industrial caen abril labelurl  ; j : 315. Sim : 0.47774377; No similar. 
 informe diario noviembre 15 2016 eeuu ventas minoristas crecieron 08 mm octubre labelurl  ; j : 316. Sim : 0.402365; No similar. 
 informe diario enero 6 2015 indice precios consumidor ipc colombia aumento 027 mmnlabelurl  ; j : 317. Sim : 0.5629978; Baja. 
 informe diario mayo 12 2014 exportaciones fob colombia disminuyeron 45 aa marzo labelurl  ; j : 318. Sim : 0.49527532; No similar. 
 informe diario diciembre 29 2014 diciembre indice manufacturero dallas ubico 41 puntosnlabelurl  ; j : 319. Sim : 0.40633318; No similar. 
 informe diario abril 25 2016 indices confianza industrial comercial muestran resultados positivos l; j : 320. Sim : 0.3635991; No similar. 
 informe inflacion junio 11 2014 esperamos inflacion junio 030 mm 30 aalabelurl  ; j : 321. Sim : 0.4339979; No similar. 
 informe diario noviembre 11 2015 reino unido registro tasa desempleo mas baja 2008nlabelurl  ; j : 322. Sim : 0.41899052; No similar. 
 informe diario mayo 14 2014 ventas minoristas colombia crecieron 83 aa marzo labelurl  ; j : 323. Sim : 0.48820508; No similar. 
 informe diario diciembre 2 2014 indice precios productor eurozona decrecio 13 aa octubre labelurl  ; j : 324. Sim : 0.46319324; No similar. 
 informe diario abril 9 2018 gasto hogares crecio 38 aa marzo segun raddarnlabelurl  ; j : 325. Sim : 0.45054656; No similar. 
 informe diario marzo 14 2016 produccion industrial colombia crecio 82 aa enero labelurl  ; j : 326. Sim : 0.47362483; No similar. 
 top 3 impacto economico confianza consumidor zona euro retrocedio desempleo uk subio lige labelurl ; j : 327. Sim : 0.38131806; No similar. 
 informe diario mayo 23 2016 pmi manufacturero eeuu registro nivel mas bajo 2009 labelurl  ; j : 328. Sim : 0.40936646; No similar. 
 informe diario enero 27 2016 feed mantiene tasa inter referencia rango 025050 labelurl  ; j : 329. Sim : 0.34386227; No similar. 
 andrespardoa 1 fmi bajo pronostico crecimiento pib mundial 36 34 esperabamos bajaran 33  ; j : 330. Sim : 0.44445512; No similar. 
 informe inflacion abril 10 2014 esperamos inflacion abril 035 mm 261 aa labelurl  ; j : 331. Sim : 0.4532433; No similar. 
